Species;Strategy;Population;Year;Pollinarium_removal;Fruit_set;Height;N_Flowers;N_Fruits;Fruit_fail;Pollinia_missing;Pollinia_not_removed;Labellum_lenght;Labellum_width;Petal_lenght;Petal_width;Inbreeding_Fruit_set;Inbreeding_Seed_viability;Inbreeding_Cumulative;Pollen_limitation
A. coriophora;Rewarding;El Toro;2017;0;0;16.5;24;0;24;0;48;8.2;7.1;4.55;2.85;0.15;0.77;0.88;-0.53
A. coriophora;Rewarding;El Toro;2017;0;0;8.2;7;0;7;0;14;8.2;7.1;4.55;2.85;0.15;0.77;0.88;-0.53
A. coriophora;Rewarding;Xorrigo;2017;0;0.526;9.1;12;6;6;0;24;8.2;7.1;4.55;2.85;0.15;0.77;0.88;-0.53
A. coriophora;Rewarding;El Toro;2017;0.042;0.083;11.1;12;1;11;1;23;8.2;7.1;4.55;2.85;0.15;0.77;0.88;-0.53
A. coriophora;Rewarding;El Toro;2017;0.071;0.357;14.5;14;5;9;2;26;8.2;7.1;4.55;2.85;0.15;0.77;0.88;-0.53
A. coriophora;Rewarding;El Toro;2017;0.077;0.308;12.5;13;4;9;2;24;8.2;7.1;4.55;2.85;0.15;0.77;0.88;-0.53
A. coriophora;Rewarding;Son Bosc;2018;0.214;1;26.1;28;28;0;12;44;8.2;7.1;4.55;2.85;0.15;0.77;0.88;-0.53
A. coriophora;Rewarding;El Toro;2017;0.231;0;15.5;13;0;13;6;20;8.2;7.1;4.55;2.85;0.15;0.77;0.88;-0.53
A. coriophora;Rewarding;El Toro;2017;0.231;0;14.5;13;0;13;6;20;8.2;7.1;4.55;2.85;0.15;0.77;0.88;-0.53
A. coriophora;Rewarding;El Toro;2017;0.278;0.389;16;18;7;11;10;26;8.2;7.1;4.55;2.85;0.15;0.77;0.88;-0.53
A. coriophora;Rewarding;El Toro;2017;0.313;0;16.1;16;0;16;10;22;8.2;7.1;4.55;2.85;0.15;0.77;0.88;-0.53
A. coriophora;Rewarding;Son Bosc;2017;0.315;0.926;16.8;27;25;2;17;37;8.2;7.1;4.55;2.85;0.15;0.77;0.88;-0.53
A. coriophora;Rewarding;El Toro;2017;0.318;0.227;12.6;22;5;17;14;30;8.2;7.1;4.55;2.85;0.15;0.77;0.88;-0.53
A. coriophora;Rewarding;El Toro;2017;0.333;0.375;14.4;18;7;11;12;24;8.2;7.1;4.55;2.85;0.15;0.77;0.88;-0.53
A. coriophora;Rewarding;El Toro;2017;0.346;0;15.9;13;0;13;9;17;8.2;7.1;4.55;2.85;0.15;0.77;0.88;-0.53
A. coriophora;Rewarding;El Toro;2017;0.346;0;12.1;13;0;13;9;17;8.2;7.1;4.55;2.85;0.15;0.77;0.88;-0.53
A. coriophora;Rewarding;El Toro;2018;0.357;1;13.5;13;13;0;9;17;8.2;7.1;4.55;2.85;0.15;0.77;0.88;-0.53
A. coriophora;Rewarding;Son Bosc;2018;0.429;1;25.1;21;21;0;18;24;8.2;7.1;4.55;2.85;0.15;0.77;0.88;-0.53
A. coriophora;Rewarding;Xorrigo;2017;0.438;0.571;11.3;14;8;6;12;16;8.2;7.1;4.55;2.85;0.15;0.77;0.88;-0.53
A. coriophora;Rewarding;Son Bosc;2018;0.438;0.977;21.1;16;16;0;14;18;8.2;7.1;4.55;2.85;0.15;0.77;0.88;-0.53
A. coriophora;Rewarding;Xorrigo;2017;0.462;0.077;20.6;26;2;24;24;28;8.2;7.1;4.55;2.85;0.15;0.77;0.88;-0.53
A. coriophora;Rewarding;Xorrigo;2018;0.5;0.2;7.9;10;2;8;10;10;8.2;7.1;4.55;2.85;0.15;0.77;0.88;-0.53
A. coriophora;Rewarding;El Toro;2018;0.5;0.933;22.5;15;14;1;15;15;8.2;7.1;4.55;2.85;0.15;0.77;0.88;-0.53
A. coriophora;Rewarding;Xorrigo;2017;0.526;0.714;10.4;13;9;4;14;12;8.2;7.1;4.55;2.85;0.15;0.77;0.88;-0.53
A. coriophora;Rewarding;Xorrigo;2017;0.533;0.667;18.3;22;15;7;23;21;8.2;7.1;4.55;2.85;0.15;0.77;0.88;-0.53
A. coriophora;Rewarding;El Toro;2018;0.533;0.889;10.5;9;8;1;10;8;8.2;7.1;4.55;2.85;0.15;0.77;0.88;-0.53
A. coriophora;Rewarding;El Toro;2018;0.538;0.846;13;13;11;2;14;12;8.2;7.1;4.55;2.85;0.15;0.77;0.88;-0.53
A. coriophora;Rewarding;El Toro;2017;0.545;0;10;11;0;11;12;10;8.2;7.1;4.55;2.85;0.15;0.77;0.88;-0.53
A. coriophora;Rewarding;El Toro;2017;0.556;0.035;27;18;1;17;20;16;8.2;7.1;4.55;2.85;0.15;0.77;0.88;-0.53
A. coriophora;Rewarding;Xorrigo;2017;0.556;0.278;13;16;4;12;18;14;8.2;7.1;4.55;2.85;0.15;0.77;0.88;-0.53
A. coriophora;Rewarding;Son Bosc;2018;0.569;0.923;23;29;27;2;33;25;8.2;7.1;4.55;2.85;0.15;0.77;0.88;-0.53
A. coriophora;Rewarding;El Toro;2017;0.571;0.5;13.5;14;7;7;16;12;8.2;7.1;4.55;2.85;0.15;0.77;0.88;-0.53
A. coriophora;Rewarding;Xorrigo;2017;0.571;0.524;13.2;18;9;9;21;15;8.2;7.1;4.55;2.85;0.15;0.77;0.88;-0.53
A. coriophora;Rewarding;El Toro;2018;0.583;0.688;17;16;11;5;19;13;8.2;7.1;4.55;2.85;0.15;0.77;0.88;-0.53
A. coriophora;Rewarding;Xorrigo;2017;0.594;0.625;11;15;9;6;18;12;8.2;7.1;4.55;2.85;0.15;0.77;0.88;-0.53
A. coriophora;Rewarding;Xorrigo;2018;0.594;0.938;22;16;15;1;19;13;8.2;7.1;4.55;2.85;0.15;0.77;0.88;-0.53
A. coriophora;Rewarding;Son Bosc;2016;0.6;0.85;24.7;20;17;3;24;16;8.2;7.1;4.55;2.85;0.15;0.77;0.88;-0.53
A. coriophora;Rewarding;Xorrigo;2017;0.618;0.647;17;22;14;8;27;17;8.2;7.1;4.55;2.85;0.15;0.77;0.88;-0.53
A. coriophora;Rewarding;El Toro;2018;0.625;0.9;17.5;10;9;1;13;7;8.2;7.1;4.55;2.85;0.15;0.77;0.88;-0.53
A. coriophora;Rewarding;El Toro;2017;0.636;0.364;16.1;11;4;7;14;8;8.2;7.1;4.55;2.85;0.15;0.77;0.88;-0.53
A. coriophora;Rewarding;El Toro;2017;0.636;0.583;12.3;22;13;9;28;16;8.2;7.1;4.55;2.85;0.15;0.77;0.88;-0.53
A. coriophora;Rewarding;Son Bosc;2017;0.646;0.925;24.7;34;31;3;44;24;8.2;7.1;4.55;2.85;0.15;0.77;0.88;-0.53
A. coriophora;Rewarding;Xorrigo;2017;0.667;0.6;9;12;7;5;16;8;8.2;7.1;4.55;2.85;0.15;0.77;0.88;-0.53
A. coriophora;Rewarding;El Toro;2018;0.667;0.714;17;14;10;4;19;9;8.2;7.1;4.55;2.85;0.15;0.77;0.88;-0.53
A. coriophora;Rewarding;El Toro;2018;0.667;0.947;20;19;18;1;25;13;8.2;7.1;4.55;2.85;0.15;0.77;0.88;-0.53
A. coriophora;Rewarding;Xorrigo;2017;0.676;0.471;16;21;10;11;28;14;8.2;7.1;4.55;2.85;0.15;0.77;0.88;-0.53
A. coriophora;Rewarding;Son Bosc;2017;0.676;0.952;18.1;21;20;1;28;14;8.2;7.1;4.55;2.85;0.15;0.77;0.88;-0.53
A. coriophora;Rewarding;Xorrigo;2017;0.677;0.8;16.1;21;17;4;28;14;8.2;7.1;4.55;2.85;0.15;0.77;0.88;-0.53
A. coriophora;Rewarding;Xorrigo;2018;0.679;1;22.1;14;14;0;19;9;8.2;7.1;4.55;2.85;0.15;0.77;0.88;-0.53
A. coriophora;Rewarding;Son Bosc;2016;0.688;0.625;10.5;8;5;3;11;5;8.2;7.1;4.55;2.85;0.15;0.77;0.88;-0.53
A. coriophora;Rewarding;El Toro;2018;0.688;0.667;12;12;8;4;17;7;8.2;7.1;4.55;2.85;0.15;0.77;0.88;-0.53
A. coriophora;Rewarding;El Toro;2018;0.7;0.85;15;20;17;3;28;12;8.2;7.1;4.55;2.85;0.15;0.77;0.88;-0.53
A. coriophora;Rewarding;Son Bosc;2017;0.703;1;24;26;26;0;37;15;8.2;7.1;4.55;2.85;0.15;0.77;0.88;-0.53
A. coriophora;Rewarding;Xorrigo;2017;0.708;0.667;8;11;7;4;16;6;8.2;7.1;4.55;2.85;0.15;0.77;0.88;-0.53
A. coriophora;Rewarding;El Toro;2017;0.722;0.389;17;18;7;11;26;10;8.2;7.1;4.55;2.85;0.15;0.77;0.88;-0.53
A. coriophora;Rewarding;Son Bosc;2018;0.727;1;20;22;22;0;32;12;8.2;7.1;4.55;2.85;0.15;0.77;0.88;-0.53
A. coriophora;Rewarding;Son Bosc;2016;0.735;1;17.2;18;18;0;26;10;8.2;7.1;4.55;2.85;0.15;0.77;0.88;-0.53
A. coriophora;Rewarding;Xorrigo;2017;0.741;0.704;14.3;20;14;6;30;10;8.2;7.1;4.55;2.85;0.15;0.77;0.88;-0.53
A. coriophora;Rewarding;Son Bosc;2018;0.744;0.947;29;39;37;2;58;20;8.2;7.1;4.55;2.85;0.15;0.77;0.88;-0.53
A. coriophora;Rewarding;El Toro;2017;0.75;0;14.3;14;0;14;21;7;8.2;7.1;4.55;2.85;0.15;0.77;0.88;-0.53
A. coriophora;Rewarding;El Toro;2017;0.75;0.167;15.5;12;2;10;18;6;8.2;7.1;4.55;2.85;0.15;0.77;0.88;-0.53
A. coriophora;Rewarding;El Toro;2017;0.75;0.455;11.2;8;4;4;12;4;8.2;7.1;4.55;2.85;0.15;0.77;0.88;-0.53
A. coriophora;Rewarding;El Toro;2018;0.75;0.833;18;12;10;2;18;6;8.2;7.1;4.55;2.85;0.15;0.77;0.88;-0.53
A. coriophora;Rewarding;Xorrigo;2017;0.75;0.842;15.6;21;18;3;32;10;8.2;7.1;4.55;2.85;0.15;0.77;0.88;-0.53
A. coriophora;Rewarding;Xorrigo;2017;0.75;0.846;21;28;24;4;42;14;8.2;7.1;4.55;2.85;0.15;0.77;0.88;-0.53
A. coriophora;Rewarding;Son Bosc;2017;0.758;0.926;24.9;31;29;2;47;15;8.2;7.1;4.55;2.85;0.15;0.77;0.88;-0.53
A. coriophora;Rewarding;Son Bosc;2016;0.765;0.824;18.4;17;14;3;26;8;8.2;7.1;4.55;2.85;0.15;0.77;0.88;-0.53
A. coriophora;Rewarding;El Toro;2017;0.767;0.733;12.6;15;11;4;23;7;8.2;7.1;4.55;2.85;0.15;0.77;0.88;-0.53
A. coriophora;Rewarding;El Toro;2017;0.773;0.154;11.2;11;2;9;17;5;8.2;7.1;4.55;2.85;0.15;0.77;0.88;-0.53
A. coriophora;Rewarding;Xorrigo;2017;0.775;0.7;15.9;21;15;6;33;9;8.2;7.1;4.55;2.85;0.15;0.77;0.88;-0.53
A. coriophora;Rewarding;Xorrigo;2017;0.778;0.778;11;15;12;3;23;7;8.2;7.1;4.55;2.85;0.15;0.77;0.88;-0.53
A. coriophora;Rewarding;Son Bosc;2018;0.789;0.958;25.9;19;18;1;30;8;8.2;7.1;4.55;2.85;0.15;0.77;0.88;-0.53
A. coriophora;Rewarding;Son Bosc;2018;0.793;0.85;22.8;29;25;4;46;12;8.2;7.1;4.55;2.85;0.15;0.77;0.88;-0.53
A. coriophora;Rewarding;Xorrigo;2017;0.794;0.5;10.6;14;7;7;22;6;8.2;7.1;4.55;2.85;0.15;0.77;0.88;-0.53
A. coriophora;Rewarding;Son Bosc;2018;0.794;0.917;24.5;34;31;3;54;14;8.2;7.1;4.55;2.85;0.15;0.77;0.88;-0.53
A. coriophora;Rewarding;Son Bosc;2017;0.795;0.875;21.6;13;11;2;21;5;8.2;7.1;4.55;2.85;0.15;0.77;0.88;-0.53
A. coriophora;Rewarding;El Toro;2017;0.8;0.333;12.1;10;3;7;16;4;8.2;7.1;4.55;2.85;0.15;0.77;0.88;-0.53
A. coriophora;Rewarding;El Toro;2018;0.8;0.6;12;15;9;6;24;6;8.2;7.1;4.55;2.85;0.15;0.77;0.88;-0.53
A. coriophora;Rewarding;El Toro;2018;0.8;0.9;12;20;18;2;32;8;8.2;7.1;4.55;2.85;0.15;0.77;0.88;-0.53
A. coriophora;Rewarding;Son Bosc;2016;0.806;0.944;15;18;17;1;29;7;8.2;7.1;4.55;2.85;0.15;0.77;0.88;-0.53
A. coriophora;Rewarding;Son Bosc;2018;0.81;0.81;28;21;17;4;34;8;8.2;7.1;4.55;2.85;0.15;0.77;0.88;-0.53
A. coriophora;Rewarding;Son Bosc;2016;0.813;0.95;35.6;40;38;2;65;15;8.2;7.1;4.55;2.85;0.15;0.77;0.88;-0.53
A. coriophora;Rewarding;Son Bosc;2018;0.817;1;28.5;41;41;0;67;15;8.2;7.1;4.55;2.85;0.15;0.77;0.88;-0.53
A. coriophora;Rewarding;Son Bosc;2018;0.818;0.778;29.4;33;26;7;54;12;8.2;7.1;4.55;2.85;0.15;0.77;0.88;-0.53
A. coriophora;Rewarding;El Toro;2018;0.818;0.818;8.5;11;9;2;18;4;8.2;7.1;4.55;2.85;0.15;0.77;0.88;-0.53
A. coriophora;Rewarding;El Toro;2018;0.818;1;18;11;11;0;18;4;8.2;7.1;4.55;2.85;0.15;0.77;0.88;-0.53
A. coriophora;Rewarding;El Toro;2018;0.824;0.941;21.5;17;16;1;28;6;8.2;7.1;4.55;2.85;0.15;0.77;0.88;-0.53
A. coriophora;Rewarding;Son Bosc;2018;0.825;0.765;23.7;20;15;5;33;7;8.2;7.1;4.55;2.85;0.15;0.77;0.88;-0.53
A. coriophora;Rewarding;Son Bosc;2018;0.827;0.88;26.9;26;23;3;43;9;8.2;7.1;4.55;2.85;0.15;0.77;0.88;-0.53
A. coriophora;Rewarding;Son Bosc;2018;0.828;0.846;36.9;32;27;5;53;11;8.2;7.1;4.55;2.85;0.15;0.77;0.88;-0.53
A. coriophora;Rewarding;Son Bosc;2016;0.833;0.926;23.3;27;25;2;45;9;8.2;7.1;4.55;2.85;0.15;0.77;0.88;-0.53
A. coriophora;Rewarding;Son Bosc;2017;0.84;0.842;17.5;24;20;4;40;8;8.2;7.1;4.55;2.85;0.15;0.77;0.88;-0.53
A. coriophora;Rewarding;Xorrigo;2017;0.842;0.692;20.2;28;19;9;47;9;8.2;7.1;4.55;2.85;0.15;0.77;0.88;-0.53
A. coriophora;Rewarding;Son Bosc;2016;0.846;0.731;19.1;26;19;7;44;8;8.2;7.1;4.55;2.85;0.15;0.77;0.88;-0.53
A. coriophora;Rewarding;Son Bosc;2018;0.846;0.875;32.1;26;23;3;44;8;8.2;7.1;4.55;2.85;0.15;0.77;0.88;-0.53
A. coriophora;Rewarding;El Toro;2018;0.846;0.923;28.5;13;12;1;22;4;8.2;7.1;4.55;2.85;0.15;0.77;0.88;-0.53
A. coriophora;Rewarding;Son Bosc;2018;0.846;0.923;21.4;26;24;2;44;8;8.2;7.1;4.55;2.85;0.15;0.77;0.88;-0.53
A. coriophora;Rewarding;Xorrigo;2017;0.85;1;15.4;21;21;0;36;6;8.2;7.1;4.55;2.85;0.15;0.77;0.88;-0.53
A. coriophora;Rewarding;Xorrigo;2017;0.853;0.8;18.8;25;20;5;43;7;8.2;7.1;4.55;2.85;0.15;0.77;0.88;-0.53
A. coriophora;Rewarding;Xorrigo;2017;0.857;0.308;9.4;13;4;9;22;4;8.2;7.1;4.55;2.85;0.15;0.77;0.88;-0.53
A. coriophora;Rewarding;Son Bosc;2017;0.857;0.912;14.6;12;11;1;21;3;8.2;7.1;4.55;2.85;0.15;0.77;0.88;-0.53
A. coriophora;Rewarding;Son Bosc;2018;0.864;0.727;29.3;33;24;9;57;9;8.2;7.1;4.55;2.85;0.15;0.77;0.88;-0.53
A. coriophora;Rewarding;Son Bosc;2018;0.864;0.833;25.7;33;27;6;57;9;8.2;7.1;4.55;2.85;0.15;0.77;0.88;-0.53
A. coriophora;Rewarding;Son Bosc;2016;0.867;0.733;20.9;15;11;4;26;4;8.2;7.1;4.55;2.85;0.15;0.77;0.88;-0.53
A. coriophora;Rewarding;Son Bosc;2016;0.867;1;17.9;15;15;0;26;4;8.2;7.1;4.55;2.85;0.15;0.77;0.88;-0.53
A. coriophora;Rewarding;Son Bosc;2017;0.867;1;16;20;20;0;35;5;8.2;7.1;4.55;2.85;0.15;0.77;0.88;-0.53
A. coriophora;Rewarding;Son Bosc;2016;0.87;0.833;21.8;24;20;4;42;6;8.2;7.1;4.55;2.85;0.15;0.77;0.88;-0.53
A. coriophora;Rewarding;Son Bosc;2016;0.871;0.903;21.6;31;28;3;54;8;8.2;7.1;4.55;2.85;0.15;0.77;0.88;-0.53
A. coriophora;Rewarding;El Toro;2017;0.875;0;13.3;12;0;12;21;3;8.2;7.1;4.55;2.85;0.15;0.77;0.88;-0.53
A. coriophora;Rewarding;Son Bosc;2016;0.875;0.75;15.6;16;12;4;28;4;8.2;7.1;4.55;2.85;0.15;0.77;0.88;-0.53
A. coriophora;Rewarding;Xorrigo;2018;0.875;0.875;16.4;24;21;3;42;6;8.2;7.1;4.55;2.85;0.15;0.77;0.88;-0.53
A. coriophora;Rewarding;Xorrigo;2017;0.875;0.958;12;18;17;1;32;4;8.2;7.1;4.55;2.85;0.15;0.77;0.88;-0.53
A. coriophora;Rewarding;Xorrigo;2018;0.875;1;19.4;24;24;0;42;6;8.2;7.1;4.55;2.85;0.15;0.77;0.88;-0.53
A. coriophora;Rewarding;Son Bosc;2017;0.882;0.95;13.4;17;16;1;30;4;8.2;7.1;4.55;2.85;0.15;0.77;0.88;-0.53
A. coriophora;Rewarding;Son Bosc;2017;0.886;0.872;24.8;38;33;5;67;9;8.2;7.1;4.55;2.85;0.15;0.77;0.88;-0.53
A. coriophora;Rewarding;Son Bosc;2016;0.886;0.886;19.1;35;31;4;62;8;8.2;7.1;4.55;2.85;0.15;0.77;0.88;-0.53
A. coriophora;Rewarding;Son Bosc;2017;0.886;0.909;22.4;20;18;2;35;5;8.2;7.1;4.55;2.85;0.15;0.77;0.88;-0.53
A. coriophora;Rewarding;Son Bosc;2016;0.889;0.778;25.1;27;21;6;48;6;8.2;7.1;4.55;2.85;0.15;0.77;0.88;-0.53
A. coriophora;Rewarding;Son Bosc;2017;0.889;0.939;17.9;22;21;1;39;5;8.2;7.1;4.55;2.85;0.15;0.77;0.88;-0.53
A. coriophora;Rewarding;Son Bosc;2017;0.889;0.974;20.3;21;20;1;37;5;8.2;7.1;4.55;2.85;0.15;0.77;0.88;-0.53
A. coriophora;Rewarding;Son Bosc;2018;0.895;0.81;30.4;38;31;7;68;8;8.2;7.1;4.55;2.85;0.15;0.77;0.88;-0.53
A. coriophora;Rewarding;Son Bosc;2017;0.896;1;21.9;22;22;0;39;5;8.2;7.1;4.55;2.85;0.15;0.77;0.88;-0.53
A. coriophora;Rewarding;Xorrigo;2018;0.896;1;21.4;24;24;0;43;5;8.2;7.1;4.55;2.85;0.15;0.77;0.88;-0.53
A. coriophora;Rewarding;Son Bosc;2017;0.9;0.78;19;19;15;4;34;4;8.2;7.1;4.55;2.85;0.15;0.77;0.88;-0.53
A. coriophora;Rewarding;Son Bosc;2016;0.9;0.933;10.1;15;14;1;27;3;8.2;7.1;4.55;2.85;0.15;0.77;0.88;-0.53
A. coriophora;Rewarding;Son Bosc;2016;0.9;0.95;15.7;20;19;1;36;4;8.2;7.1;4.55;2.85;0.15;0.77;0.88;-0.53
A. coriophora;Rewarding;Son Bosc;2017;0.9;1;17.6;16;16;0;29;3;8.2;7.1;4.55;2.85;0.15;0.77;0.88;-0.53
A. coriophora;Rewarding;El Toro;2018;0.9;1;16;16;16;0;29;3;8.2;7.1;4.55;2.85;0.15;0.77;0.88;-0.53
A. coriophora;Rewarding;El Toro;2018;0.9;1;11.4;20;20;0;36;4;8.2;7.1;4.55;2.85;0.15;0.77;0.88;-0.53
A. coriophora;Rewarding;Son Bosc;2017;0.904;0.931;24.2;26;24;2;47;5;8.2;7.1;4.55;2.85;0.15;0.77;0.88;-0.53
A. coriophora;Rewarding;Son Bosc;2017;0.906;0.929;20.7;23;21;2;42;4;8.2;7.1;4.55;2.85;0.15;0.77;0.88;-0.53
A. coriophora;Rewarding;Son Bosc;2018;0.907;0.63;29.7;27;17;10;49;5;8.2;7.1;4.55;2.85;0.15;0.77;0.88;-0.53
A. coriophora;Rewarding;Son Bosc;2018;0.907;0.742;26.5;27;20;7;49;5;8.2;7.1;4.55;2.85;0.15;0.77;0.88;-0.53
A. coriophora;Rewarding;Son Bosc;2016;0.907;0.926;21;27;25;2;49;5;8.2;7.1;4.55;2.85;0.15;0.77;0.88;-0.53
A. coriophora;Rewarding;Son Bosc;2018;0.909;0.676;21;33;22;11;60;6;8.2;7.1;4.55;2.85;0.15;0.77;0.88;-0.53
A. coriophora;Rewarding;Xorrigo;2017;0.91;0.826;10.4;14;12;2;25;3;8.2;7.1;4.55;2.85;0.15;0.77;0.88;-0.53
A. coriophora;Rewarding;Son Bosc;2017;0.911;0.813;23.4;43;35;8;78;8;8.2;7.1;4.55;2.85;0.15;0.77;0.88;-0.53
A. coriophora;Rewarding;Xorrigo;2018;0.913;0.957;22.5;23;22;1;42;4;8.2;7.1;4.55;2.85;0.15;0.77;0.88;-0.53
A. coriophora;Rewarding;El Toro;2017;0.917;0.3;12.1;6;2;4;11;1;8.2;7.1;4.55;2.85;0.15;0.77;0.88;-0.53
A. coriophora;Rewarding;Son Bosc;2017;0.917;1;20.9;25;25;0;46;4;8.2;7.1;4.55;2.85;0.15;0.77;0.88;-0.53
A. coriophora;Rewarding;Son Bosc;2018;0.92;0.864;28.8;50;43;7;92;8;8.2;7.1;4.55;2.85;0.15;0.77;0.88;-0.53
A. coriophora;Rewarding;Son Bosc;2016;0.924;0.848;25.1;33;28;5;61;5;8.2;7.1;4.55;2.85;0.15;0.77;0.88;-0.53
A. coriophora;Rewarding;Xorrigo;2018;0.925;1;21.9;20;20;0;37;3;8.2;7.1;4.55;2.85;0.15;0.77;0.88;-0.53
A. coriophora;Rewarding;Son Bosc;2018;0.926;0.875;30.9;34;30;4;63;5;8.2;7.1;4.55;2.85;0.15;0.77;0.88;-0.53
A. coriophora;Rewarding;Son Bosc;2016;0.931;0.897;29;29;26;3;54;4;8.2;7.1;4.55;2.85;0.15;0.77;0.88;-0.53
A. coriophora;Rewarding;Son Bosc;2017;0.932;0.857;18.1;33;28;5;62;4;8.2;7.1;4.55;2.85;0.15;0.77;0.88;-0.53
A. coriophora;Rewarding;Son Bosc;2017;0.933;0.935;20.1;29;27;2;54;4;8.2;7.1;4.55;2.85;0.15;0.77;0.88;-0.53
A. coriophora;Rewarding;Xorrigo;2017;0.938;0.938;13;18;17;1;34;2;8.2;7.1;4.55;2.85;0.15;0.77;0.88;-0.53
A. coriophora;Rewarding;Son Bosc;2018;0.941;0.957;21.6;17;16;1;32;2;8.2;7.1;4.55;2.85;0.15;0.77;0.88;-0.53
A. coriophora;Rewarding;Son Bosc;2016;0.941;1;31.2;34;34;0;64;4;8.2;7.1;4.55;2.85;0.15;0.77;0.88;-0.53
A. coriophora;Rewarding;El Toro;2018;0.947;0.9;16.5;10;9;1;19;1;8.2;7.1;4.55;2.85;0.15;0.77;0.88;-0.53
A. coriophora;Rewarding;Xorrigo;2018;0.947;0.947;22.5;19;18;1;36;2;8.2;7.1;4.55;2.85;0.15;0.77;0.88;-0.53
A. coriophora;Rewarding;Son Bosc;2016;0.952;0.774;27.9;31;24;7;59;3;8.2;7.1;4.55;2.85;0.15;0.77;0.88;-0.53
A. coriophora;Rewarding;Xorrigo;2017;0.958;0.941;15.4;20;19;1;38;2;8.2;7.1;4.55;2.85;0.15;0.77;0.88;-0.53
A. coriophora;Rewarding;Son Bosc;2016;0.958;1;21.6;14;14;0;27;1;8.2;7.1;4.55;2.85;0.15;0.77;0.88;-0.53
A. coriophora;Rewarding;Son Bosc;2016;0.96;0.96;20.5;25;24;1;48;2;8.2;7.1;4.55;2.85;0.15;0.77;0.88;-0.53
A. coriophora;Rewarding;Son Bosc;2017;0.963;0.97;22.2;34;33;1;65;3;8.2;7.1;4.55;2.85;0.15;0.77;0.88;-0.53
A. coriophora;Rewarding;Son Bosc;2018;0.964;0.565;28.6;14;8;6;27;1;8.2;7.1;4.55;2.85;0.15;0.77;0.88;-0.53
A. coriophora;Rewarding;Son Bosc;2016;0.964;0.821;16.1;28;23;5;54;2;8.2;7.1;4.55;2.85;0.15;0.77;0.88;-0.53
A. coriophora;Rewarding;Xorrigo;2018;0.966;0.862;21.7;29;25;4;56;2;8.2;7.1;4.55;2.85;0.15;0.77;0.88;-0.53
A. coriophora;Rewarding;Son Bosc;2016;0.966;0.931;30;29;27;2;56;2;8.2;7.1;4.55;2.85;0.15;0.77;0.88;-0.53
A. coriophora;Rewarding;El Toro;2017;0.967;0.133;17.6;15;2;13;29;1;8.2;7.1;4.55;2.85;0.15;0.77;0.88;-0.53
A. coriophora;Rewarding;Xorrigo;2018;0.967;0.867;18;15;13;2;29;1;8.2;7.1;4.55;2.85;0.15;0.77;0.88;-0.53
A. coriophora;Rewarding;Son Bosc;2017;0.969;1;26.7;36;36;0;70;2;8.2;7.1;4.55;2.85;0.15;0.77;0.88;-0.53
A. coriophora;Rewarding;Son Bosc;2017;0.972;0.966;19.1;20;19;1;39;1;8.2;7.1;4.55;2.85;0.15;0.77;0.88;-0.53
A. coriophora;Rewarding;Son Bosc;2017;0.973;0.941;26;46;43;3;90;2;8.2;7.1;4.55;2.85;0.15;0.77;0.88;-0.53
A. coriophora;Rewarding;Son Bosc;2018;0.975;0.676;26.5;40;27;13;78;2;8.2;7.1;4.55;2.85;0.15;0.77;0.88;-0.53
A. coriophora;Rewarding;Son Bosc;2017;0.977;0.96;22.8;22;21;1;43;1;8.2;7.1;4.55;2.85;0.15;0.77;0.88;-0.53
A. coriophora;Rewarding;Xorrigo;2018;0.98;1;18.6;25;25;0;49;1;8.2;7.1;4.55;2.85;0.15;0.77;0.88;-0.53
A. coriophora;Rewarding;Xorrigo;2017;0.981;0.962;20;28;27;1;55;1;8.2;7.1;4.55;2.85;0.15;0.77;0.88;-0.53
A. coriophora;Rewarding;Son Bosc;2016;0.982;0.903;22.6;31;28;3;61;1;8.2;7.1;4.55;2.85;0.15;0.77;0.88;-0.53
A. coriophora;Rewarding;Son Bosc;2016;0.983;0.931;23.4;29;27;2;57;1;8.2;7.1;4.55;2.85;0.15;0.77;0.88;-0.53
A. coriophora;Rewarding;Son Bosc;2016;0.988;1;20.4;41;41;0;81;1;8.2;7.1;4.55;2.85;0.15;0.77;0.88;-0.53
A. coriophora;Rewarding;El Toro;2017;1;0.318;6.8;13;4;9;26;0;8.2;7.1;4.55;2.85;0.15;0.77;0.88;-0.53
A. coriophora;Rewarding;El Toro;2018;1;0.75;23.5;16;12;4;32;0;8.2;7.1;4.55;2.85;0.15;0.77;0.88;-0.53
A. coriophora;Rewarding;Son Bosc;2018;1;0.75;17.8;19;14;5;38;0;8.2;7.1;4.55;2.85;0.15;0.77;0.88;-0.53
A. coriophora;Rewarding;Son Bosc;2018;1;0.862;19.2;31;27;4;62;0;8.2;7.1;4.55;2.85;0.15;0.77;0.88;-0.53
A. coriophora;Rewarding;Son Bosc;2017;1;0.923;22.1;24;22;2;48;0;8.2;7.1;4.55;2.85;0.15;0.77;0.88;-0.53
A. coriophora;Rewarding;Son Bosc;2016;1;0.938;16.5;16;15;1;32;0;8.2;7.1;4.55;2.85;0.15;0.77;0.88;-0.53
A. coriophora;Rewarding;Xorrigo;2018;1;0.947;18.7;19;18;1;38;0;8.2;7.1;4.55;2.85;0.15;0.77;0.88;-0.53
A. coriophora;Rewarding;Son Bosc;2017;1;1;30.5;24;24;0;48;0;8.2;7.1;4.55;2.85;0.15;0.77;0.88;-0.53
